"SPEI_timescale","water_class","near_normal_WUE_T","dry_decrease_threshold","dry_increase_threshold","wet_decrease_threshold","wet_increase_threshold","min_predicted_pct_change","max_predicted_pct_change"
"SPEI_1","Upland",5.48919319302184,NA,NA,NA,NA,-4.05394586010264,6.54902775484784
"SPEI_1","Freshwater",4.21954140936123,NA,NA,NA,NA,-0.0198778058118259,0.0152631955525635
"SPEI_1","Saline",3.79571448215135,NA,NA,NA,NA,-0.00709745558595578,0.0431588907022675
"SPEI_3","Upland",5.38809641457018,NA,-1.0293403903843,NA,NA,-4.93308168771035,23.5419193821749
"SPEI_3","Freshwater",4.21951351065009,NA,NA,NA,NA,-0.00728880134977099,0.00182518617725592
"SPEI_3","Saline",3.79581271083288,NA,NA,NA,NA,-0.00367964010497794,0.0236673977134225
"SPEI_6","Upland",5.44677574908028,NA,-1.61141039308738,NA,NA,-6.42829447306435,13.647452821134
"SPEI_6","Freshwater",4.21959154835205,NA,NA,NA,NA,-0.0181106466722668,0.0128995372577323
"SPEI_6","Saline",3.72785187663226,NA,NA,NA,1.77829138735997,-1.54077656386138,11.1204558777526
"SPEI_12","Upland",5.4960425846593,NA,NA,NA,NA,-7.13146745094362,8.01989646097696
"SPEI_12","Freshwater",4.21957016391976,NA,NA,NA,NA,-0.0105019316966733,0.00912626853399661
"SPEI_12","Saline",3.79590600007587,NA,NA,NA,NA,-0.00915361577866928,0.0105227125477889
"SPEI_24","Upland",5.49325156310849,NA,-1.88532568847707,1.8810096231311,NA,-10.2480256533882,11.5289509270743
"SPEI_24","Freshwater",4.22053295499704,NA,NA,NA,NA,-0.111203596169189,0.0496168095636679
"SPEI_24","Saline",3.79486170186332,NA,NA,NA,NA,-0.477835883218985,0.485274851192742
"SPEI_36","Upland",5.50528577568923,NA,NA,NA,NA,-7.86109556948806,8.84205191343829
"SPEI_36","Freshwater",4.21970971318329,NA,NA,NA,NA,-0.0270268602492094,0.0178676561520976
"SPEI_36","Saline",3.78973207975865,NA,NA,NA,NA,-1.21765454389313,1.95247016907998
"SPEI_48","Upland",5.50702674358798,NA,NA,NA,NA,-5.40544906184152,6.07955813942633
"SPEI_48","Freshwater",4.21964494790908,NA,NA,NA,NA,-0.0193044283726116,0.0108585623109902
"SPEI_48","Saline",3.79598202691605,NA,NA,NA,NA,-0.0284307378892616,0.0176415810499867
