"site_name","Year","month","water_class","difference_type","Trans_ratio","Trans_ratio_z","WUE_difference","smooth_fitted","smooth_residual"
"US-Atq",2004,6,"Freshwater","WUE_ET_minus_WUE_T",0.675105252264189,0.682697192655572,-0.0906137098413141,-0.322388788982719,0.231775079141405
"US-Atq",2004,7,"Freshwater","WUE_ET_minus_WUE_T",0.591284486144797,0.204859117373275,-0.349834340508667,-0.88686825258069,0.537033912072023
"US-Atq",2004,8,"Freshwater","WUE_ET_minus_WUE_T",0.554508261580966,-0.00479155960455203,-0.513941263796251,-1.35431716204708,0.840375898250825
"US-Atq",2005,6,"Freshwater","WUE_ET_minus_WUE_T",0.663647179125735,0.617378013788558,-0.10171439343039,-0.375984810886112,0.274270417455722
"US-Atq",2005,7,"Freshwater","WUE_ET_minus_WUE_T",0.678063426021373,0.699560890279979,-0.24931710653371,-0.470649178439311,0.221332071905601
"US-Atq",2006,6,"Freshwater","WUE_ET_minus_WUE_T",0.534575415641756,-0.118422980306716,-0.391853181586958,-1.01257397167642,0.62072079008946
"US-Atq",2006,7,"Freshwater","WUE_ET_minus_WUE_T",0.573467209298166,0.10328794749111,-0.723262666564653,-0.975701473436062,0.252438806871409
"US-Atq",2006,8,"Freshwater","WUE_ET_minus_WUE_T",0.483407993277769,-0.410113736088386,-1.31256694342576,-1.73144720158159,0.418880258155831
"US-Brw",1998,8,"Upland","WUE_ET_minus_WUE_T",0.659668467888357,0.594696525563257,-0.538967306836276,-0.873043037152053,0.334075730315777
"US-Brw",1999,7,"Upland","WUE_ET_minus_WUE_T",0.687099319239596,0.751071918199977,-0.621874454760573,-0.435652956744826,-0.186221498015747
"US-Brw",1999,8,"Upland","WUE_ET_minus_WUE_T",0.633276328486358,0.444242530947287,-1.3058575087229,-1.05375839148817,-0.252099117234735
"US-Brw",2000,8,"Upland","WUE_ET_minus_WUE_T",0.466175912363539,-0.508348872300763,-2.19343745061457,-2.51854537481827,0.3251079242037
"US-Brw",2001,6,"Upland","WUE_ET_minus_WUE_T",0.424520237725813,-0.745815890499156,-0.423014668440315,-2.37934113278282,1.9563264643425
"US-Brw",2001,7,"Upland","WUE_ET_minus_WUE_T",0.611830499463529,0.321986028918836,-1.0209179137239,-0.942353465232393,-0.0785644484915079
"US-Brw",2001,8,"Upland","WUE_ET_minus_WUE_T",0.637064981087044,0.465840549558174,-1.56536904253848,-1.02574687847104,-0.53962216406744
"US-Brw",2002,6,"Upland","WUE_ET_minus_WUE_T",0.268721878067357,-1.63397752105853,-1.20691250489715,-4.78358097377283,3.57666846887568
"US-Brw",2002,8,"Upland","WUE_ET_minus_WUE_T",0.582881115073662,0.15695391625886,-0.914977031566951,-1.48433303959634,0.569356008029384
"US-Brw",2003,7,"Upland","WUE_ET_minus_WUE_T",0.618456847707112,0.359760934082002,-0.977895815388837,-0.887265253203335,-0.0906305621855017
"US-Brw",2003,8,"Upland","WUE_ET_minus_WUE_T",0.558057460164428,0.0154414005368585,-1.59254266394651,-1.72122643174509,0.128683767798584
"US-Brw",2004,6,"Upland","WUE_ET_minus_WUE_T",0.35872146508439,-1.12091576527399,-1.33132770103273,-3.00344993969112,1.67212223865839
"US-Brw",2004,8,"Upland","WUE_ET_minus_WUE_T",0.424605947621433,-0.745327283040023,-2.85089663201973,-2.82329830671847,-0.0275983253012586
"US-Brw",2005,6,"Upland","WUE_ET_minus_WUE_T",0.813985677594134,1.47441454631854,-0.0689553252914363,0.252201752095465,-0.321157077386901
"US-Brw",2005,8,"Upland","WUE_ET_minus_WUE_T",0.595448783947438,0.228598581220241,-1.58442062175647,-1.36846793393509,-0.21595268782138
"US-Brw",2006,6,"Upland","WUE_ET_minus_WUE_T",0.440930084945738,-0.652268072049526,-3.55097559196794,-2.25842398510776,-1.29255160686019
"US-BWb",2022,5,"Upland","WUE_ET_minus_WUE_T",0.545474371972362,-0.0562911655224873,-3.81018094828225,-2.21117012065496,-1.59901082762728
"US-BWb",2022,7,"Upland","WUE_ET_minus_WUE_T",0.453197500559749,-0.582335064549481,-2.36010939052251,-2.89863375939821,0.538524368875702
"US-BWb",2022,8,"Upland","WUE_ET_minus_WUE_T",0.589940733965301,0.19719877274946,-1.6052034871657,-1.98597646590353,0.380772978737828
"US-BWb",2022,9,"Upland","WUE_ET_minus_WUE_T",0.589016000730925,0.191927134594369,-1.18261550337191,-1.81790767923352,0.635292175861602
"US-BWb",2023,4,"Upland","WUE_ET_minus_WUE_T",0.51865320160882,-0.209190942232693,-2.34018117921916,-2.38053264944837,0.0403514702292083
"US-BWb",2023,6,"Upland","WUE_ET_minus_WUE_T",0.398642535633576,-0.893337225998167,-2.90699012362906,-3.15430533584024,0.247315212211189
"US-BWb",2023,7,"Upland","WUE_ET_minus_WUE_T",0.592856604180637,0.213821310051071,-2.05942121468746,-1.67667832020224,-0.382742894485212
"US-CAK",2025,4,"Upland","WUE_ET_minus_WUE_T",0.289392811794131,-1.51613847420205,-0.462202356009912,-4.29390542797075,3.83170307196084
"US-CAK",2025,6,"Upland","WUE_ET_minus_WUE_T",0.78859792053832,1.32968624653176,-0.529431520176538,0.275423026130925,-0.804854546307463
