"result_type","model","term","estimate","std_error","statistic","edf","ref_df","p_value","AIC","BIC","deviance_explained","adjusted_r_squared","delta_AIC"
"parametric_term","smooth_gam","(Intercept)",-1.34985403663667,0.797984715593475,-1.69157881129685,NA,NA,0.0908157980820064,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_ET_minus_WUE_E",-3.64828120432118,1.07317809215876,-3.39951144267438,NA,NA,0.000682655965141072,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_E_minus_WUE_T",3.94646593920427,1.07312294309195,3.67755247859434,NA,NA,0.000239040006068285,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","water_classFreshwater",0.701292493022776,0.352399819964557,1.9900478186774,NA,NA,0.0466637494985381,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","water_classSaline",0.848938809506993,0.38811672471575,2.18732859329559,NA,NA,0.0287848375166869,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","month_f2",-1.0336672433773,0.834836726160231,-1.23816695047854,NA,NA,0.215737642455403,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","month_f3",-1.11712499522722,0.788980712780734,-1.41590913076944,NA,NA,0.156891559416462,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","month_f4",-1.09101713523201,0.776823583158806,-1.40445933785325,NA,NA,0.160271311810177,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","month_f5",-1.17057042362209,0.776286006542768,-1.50791127723053,NA,NA,0.13166796394141,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","month_f6",-0.92390985701136,0.77401648067122,-1.1936565694443,NA,NA,0.232693659369495,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","month_f7",-1.08593367973373,0.777233550024411,-1.39717808077073,NA,NA,0.162449058313483,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","month_f8",-1.36851197696143,0.776713894866329,-1.76192544771837,NA,NA,0.078169638666148,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","month_f9",-1.19192065388511,0.781355722256545,-1.52545200596069,NA,NA,0.127237222264252,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","month_f10",-1.27476724633179,0.793770302797087,-1.60596490173513,NA,NA,0.108372306553295,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","month_f11",-1.42170700034644,1.96435203372341,-0.723753673444981,NA,NA,0.469265597940504,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_ET_minus_WUE_E:water_classFreshwater",0.0407486869466957,0.169427567014312,0.24050800979308,NA,NA,0.809950614475737,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_E_minus_WUE_T:water_classFreshwater",-1.06290519375864,0.16941024453258,-6.27414945708447,NA,NA,3.94788812761662e-10,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_ET_minus_WUE_E:water_classSaline",0.804974912404694,0.194234105275626,4.14435410950308,NA,NA,3.48884512637567e-05,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_E_minus_WUE_T:water_classSaline",-1.53201142632768,0.193195107803221,-7.92986656726376,NA,NA,2.93023969633956e-15,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_ET_minus_WUE_E:month_f2",1.81090714134124,1.17185283891324,1.54533665082097,NA,NA,0.122355736708465,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_E_minus_WUE_T:month_f2",0.134824652375782,1.17167456420064,0.115070051441941,NA,NA,0.908396233131245,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_ET_minus_WUE_E:month_f3",1.56922913559825,1.10400185443741,1.42140081494511,NA,NA,0.155289830017034,NA,NA,NA,NA,NA
"parametric_term","smooth_gam","difference_typeWUE_E_minus_WUE_T:month_f3",0.525954327997018,1.10391520587118,0.476444499722195,NA,NA,0.633787635595335,NA,NA,NA,NA,NA
