"model","AIC","BIC","deviance_explained","adjusted_r_squared","scale","delta_AIC"
"linear_gam",15278.5975469015,15895.7042896732,0.769732443380757,0.763341591552975,3.94117561177078,851.355641705723
"smooth_gam",14427.2419051958,15239.1881806719,0.82130313365135,0.814975733267382,3.08128974760514,0
