"npar","AIC","BIC","logLik","-2*log(L)","Chisq","Df","Pr(>Chisq)","signif"
18,28128.0730334524,28246.8575853855,-14046.0365167262,28092.0730334524,NA,NA,NA,""
20,28116.3620259394,28248.3448614207,-14038.1810129697,28076.3620259394,15.7110075129822,2,0.000387612760566615,"***"
46,23185.9063151223,23489.4668367292,-11546.9531575611,23093.9063151223,4982.45571081712,26,0,"***"
