"term","Estimate","Std._Error","t_value","p_value","signif"
"(Intercept)",-1.34985403663667,0.797984715593475,-1.69157881129685,0.0908157980820064,"."
"difference_typeWUE_ET_minus_WUE_E",-3.64828120432118,1.07317809215876,-3.39951144267438,0.000682655965141072,"***"
"difference_typeWUE_E_minus_WUE_T",3.94646593920427,1.07312294309195,3.67755247859434,0.000239040006068285,"***"
"water_classFreshwater",0.701292493022776,0.352399819964557,1.9900478186774,0.0466637494985381,"*"
"water_classSaline",0.848938809506993,0.38811672471575,2.18732859329559,0.0287848375166869,"*"
"month_f2",-1.0336672433773,0.834836726160231,-1.23816695047854,0.215737642455403,""
"month_f3",-1.11712499522722,0.788980712780734,-1.41590913076944,0.156891559416462,""
"month_f4",-1.09101713523201,0.776823583158806,-1.40445933785325,0.160271311810177,""
"month_f5",-1.17057042362209,0.776286006542768,-1.50791127723053,0.13166796394141,""
"month_f6",-0.92390985701136,0.77401648067122,-1.1936565694443,0.232693659369495,""
"month_f7",-1.08593367973373,0.777233550024411,-1.39717808077073,0.162449058313483,""
"month_f8",-1.36851197696143,0.776713894866329,-1.76192544771837,0.078169638666148,"."
"month_f9",-1.19192065388511,0.781355722256545,-1.52545200596069,0.127237222264252,""
"month_f10",-1.27476724633179,0.793770302797087,-1.60596490173513,0.108372306553295,""
"month_f11",-1.42170700034644,1.96435203372341,-0.723753673444981,0.469265597940504,""
"difference_typeWUE_ET_minus_WUE_E:water_classFreshwater",0.0407486869466957,0.169427567014312,0.24050800979308,0.809950614475737,""
"difference_typeWUE_E_minus_WUE_T:water_classFreshwater",-1.06290519375864,0.16941024453258,-6.27414945708447,3.94788812761662e-10,"***"
"difference_typeWUE_ET_minus_WUE_E:water_classSaline",0.804974912404694,0.194234105275626,4.14435410950308,3.48884512637567e-05,"***"
"difference_typeWUE_E_minus_WUE_T:water_classSaline",-1.53201142632768,0.193195107803221,-7.92986656726376,2.93023969633956e-15,"***"
"difference_typeWUE_ET_minus_WUE_E:month_f2",1.81090714134124,1.17185283891324,1.54533665082097,0.122355736708465,""
"difference_typeWUE_E_minus_WUE_T:month_f2",0.134824652375782,1.17167456420064,0.115070051441941,0.908396233131245,""
"difference_typeWUE_ET_minus_WUE_E:month_f3",1.56922913559825,1.10400185443741,1.42140081494511,0.155289830017034,""
"difference_typeWUE_E_minus_WUE_T:month_f3",0.525954327997018,1.10391520587118,0.476444499722195,0.633787635595335,""
"difference_typeWUE_ET_minus_WUE_E:month_f4",1.77834637076866,1.08551811873828,1.63824660323097,0.101460619088006,""
"difference_typeWUE_E_minus_WUE_T:month_f4",0.141109634571256,1.08545038774064,0.130000998815778,0.896573146215628,""
"difference_typeWUE_ET_minus_WUE_E:month_f5",1.72019202216838,1.08250150993472,1.58908972078211,0.112130932822987,""
"difference_typeWUE_E_minus_WUE_T:month_f5",0.358392367050869,1.08244779922027,0.331094365297831,0.740593132414918,""
"difference_typeWUE_ET_minus_WUE_E:month_f6",1.93274454466541,1.07911191533181,1.79105106449605,0.0733719344024056,"."
"difference_typeWUE_E_minus_WUE_T:month_f6",-0.0383340301902494,1.07904774084304,-0.035525796254668,0.97166251343718,""
"difference_typeWUE_ET_minus_WUE_E:month_f7",1.8326275767378,1.0827785917938,1.69252291338874,0.0906357848377555,"."
"difference_typeWUE_E_minus_WUE_T:month_f7",0.216410735138293,1.08272528416554,0.199875941111952,0.841589279593765,""
"difference_typeWUE_ET_minus_WUE_E:month_f8",2.24851349134355,1.08113557242707,2.07977014972859,0.037619613825452,"*"
"difference_typeWUE_E_minus_WUE_T:month_f8",0.211244593693866,1.08107772361685,0.195401856017463,0.845089765739785,""
"difference_typeWUE_ET_minus_WUE_E:month_f9",2.19447106199342,1.08932527092319,2.01452322879981,0.0440313784930681,"*"
"difference_typeWUE_E_minus_WUE_T:month_f9",0.0332109507934219,1.08925417832914,0.0304896244183941,0.975678315580605,""
"difference_typeWUE_ET_minus_WUE_E:month_f10",1.89837160321584,1.10585531992842,1.71665458311375,0.0861312460351007,"."
"difference_typeWUE_E_minus_WUE_T:month_f10",0.478230239186874,1.10577333261137,0.43248487287851,0.665415829160041,""
"difference_typeWUE_ET_minus_WUE_E:month_f11",1.7171362882536,2.70843271297394,0.633996288712718,0.526124892862459,""
"difference_typeWUE_E_minus_WUE_T:month_f11",0.499460219593901,2.70847803070207,0.184406228860728,0.853705523211468,""
